Name;editable in magnolia;Value
;;
manageSplitBill.step1.selectChoiceTitle;No;Please select split bill type
manageSplitBill.step1.currentSplitBillTypeTitle;No;Current split billing type
manageSplitBill.step1.selectInvoiceAccount.title;No;Please select an invoice account
manageSplitBill.step1.selectInvoiceAccount.descr;No;This account will be used for split billing.
manageSplitBill.step1.selectInvoiceAccount.table.column.1;No;Account name
manageSplitBill.step1.selectInvoiceAccount.table.column.2;No;Account number
manageSplitBill.step1.selectInvoiceAccount.table.selectARow;No;Select a row
manageSplitBill.step1.titleDownloadUpload;No;Please add an adhesion form
manageSplitBill.step1.subtitleDownloadUpload;Yes;You can also do this after this request, if you don t have the form yet you can do it later by opening your ticket and attaching the document to the ticket
manageSplitBill.step1.descriptionDownloadUpload;Yes;To this Budget Manager profile, you will need the adhesion form filled & signed by your employee. If you don t have this document already please dowload it below. You can reopen your ticket and upload this document afterwards.
manageSplitBill.step1.downloadForm;No;Download form
manageSplitBill.step1.uploadForm;No;Upload form
manageSplitBill.step1.uploadLabel;No;Select your .pdf file
manageSplitBill.step1.uploadFileSize;No;2000000
manageSplitBill.step1.downloadFormFileName;No;Form.pdf
manageSplitBill.step1.errorSizeFile;No;File size exceed limit
manageSplitBill.step1.errorTypeFile;No;Wrong type of file
manageSplitBill.step1.explanationBox.title;Yes;Explanation of the different actions for split billing
manageSplitBill.step1.explanationBox.description;Yes;<ul><li>Activation of split billing - We will activate the requested split billing profile. The mobile number will be invoiced according to the conditions of that profile.</li><li>Deactivation of split billing - We will no longer bill this mobile number through split billing. The full amount will be invoiced on a specified invoice account.</li><li>Modification of an existing split billing profile - Invoicing will happen according to the conditions of the newly selected profile.</li></ul>
manageSplitBill.step1.explanationBox.close;No;Close
;;
manageSplitBill.step2.invoiceAddress.title;No;Enter invoice address
manageSplitBill.step2.invoiceAddress.description;No;Please enter the address below
manageSplitBill.step2.invoiceAddress.country;No;Country
manageSplitBill.step2.invoiceAddress.postalcode;No;Postal Code
manageSplitBill.step2.invoiceAddress.streetname;No;Street name
manageSplitBill.step2.invoiceAddress.city;No;City
manageSplitBill.step2.invoiceAddress.houseNr;No;House number
manageSplitBill.step2.invoiceAddress.suffix;No;Suffix (optional)
manageSplitBill.step2.invoiceAddress.addressExtra;No;Box
manageSplitBill.step2.selectLanguagePlaceholder;No;Choose a language
manageSplitBill.step2.selectLanguage.EN;No;English
manageSplitBill.step2.selectLanguage.FR;No;French
manageSplitBill.step2.selectLanguage.NL;No;Nederlands
manageSplitBill.step2.firstname;No;Firstname
manageSplitBill.step2.lastname;No;Lastname
manageSplitBill.step2.deliverySection.title;No;Choose one delivery method
manageSplitBill.step2.deliverySection.subtitle;No;You will receive your invoice to
manageSplitBill.step2.deliverySection.EmailSms;No;Email/SMS
manageSplitBill.step2.deliverySection.Zoomit;No;Zoomit
manageSplitBill.step2.deliverySection.PaperMail;No;Paper mail
manageSplitBill.step2.deliverySection.form.email;No;Enter email address
manageSplitBill.step2.deliverySection.form.sms;No;Enter mobile number - Notification SMS that your invoice is ready (optional)
manageSplitBill.step2.deliverySection.form.zoomit;No;Enter your IBAN bank account number
